Time,BlockedArrivalTime,BufferUtilizationMean,CraneManipulations,CraneUtilizationMean,DeliveredBlocks,HandoverUtilizationMean,LeadTimeMean,ServiceLevelMean,TardinessMean,TotalBlocksOnTime,UpstreamUtilizationMean
0,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,0.0
1000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
2000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
3000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
4000,0.0,0.7058444884053955,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
5000,0.0,0.7058444884053955,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
6000,0.0,0.7001685816676249,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
7000,0.0,0.7001685816676249,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
8000,0.0,0.7017718887589091,1,0.8717029337596724,0,0.0,0.0,0.0,0.0,35,1.0
9000,0.0,0.7017718887589091,1,0.8591806634594885,0,0.0,0.0,0.0,0.0,35,1.0
10000,0.0,0.703460099167143,2,0.8737341033898317,0,0.0,0.0,0.0,0.0,35,1.0
11000,0.0,0.7022924109872629,2,0.8855611633375678,0,0.0,0.0,0.0,0.0,35,1.0
12000,0.0,0.7001093248694219,2,0.895362350996174,0,0.0,0.0,0.0,0.0,35,1.0
13000,0.0,0.7007641314664117,2,0.9028038167792655,0,0.0,0.0,0.0,0.0,35,1.0
14000,0.0,0.7007641314664117,2,0.8920533026819146,0,0.0,0.0,0.0,0.0,35,1.0
15000,0.0,0.7016510263713469,3,0.8994086154422836,0,0.0,0.0,0.0,0.0,35,1.0
16000,0.0,0.7008424264480286,3,0.9058255121981781,0,0.0,0.0,0.0,0.0,35,1.0
17000,0.0,0.7008424264480286,3,0.9114728131158751,0,0.0,0.0,0.0,0.0,35,1.0
18000,0.0,0.6999471267009905,3,0.9085036933065233,0,0.0,0.0,0.0,0.0,35,1.0
19000,0.0,0.6999471267009905,3,0.9001327440406687,0,0.0,0.0,0.0,0.0,35,1.0
20000,0.0,0.6999471267009905,3,0.9052083268904221,0,0.0,0.0,0.0,0.0,35,1.0
21000,0.0,0.7009219760062158,4,0.909792946439448,0,0.0,0.0,0.0,0.0,35,1.0
22000,0.0,0.7002145811309682,4,0.9139545528965785,0,0.0,0.0,0.0,0.0,35,1.0
23000,0.0,0.699504015352478,4,0.917749110201993,0,0.0,0.0,0.0,0.0,35,1.0
24000,0.0,0.6998000197701055,4,0.8949898554095076,0,0.0,0.0,0.0,0.0,35,1.0
25000,0.0,0.6998000197701055,4,0.8882110080219469,0,0.0,0.0,0.0,0.0,35,1.0
26000,0.0,0.6998000197701055,4,0.8925648371486337,0,0.0,0.0,0.0,0.0,35,1.0
27000,0.0,0.7007576413984935,5,0.8965922435505393,0,0.0,0.0,0.0,0.0,35,1.0
28000,0.0,0.7000784582377327,5,0.900328610504229,0,0.0,0.0,0.0,0.0,35,1.0
29000,0.0,0.7000784582377327,5,0.9038043856948016,0,0.0,0.0,0.0,0.0,35,1.0
30000,0.0,0.7000784582377327,5,0.9070459127950435,0,0.0,0.0,0.0,0.0,35,1.0
31000,0.0,0.7000784582377327,5,0.9100761003939062,0,0.0,0.0,0.0,0.0,35,1.0
32000,0.0,0.6986293759386858,5,0.9129149642180554,1,1.0,985.38,1.0,0.0,35,1.0
33000,0.0,0.6986293759386858,5,0.9155800697902068,1,1.0,985.38,1.0,0.0,35,1.0
34000,0.0,0.6978731851915161,5,0.9078975024757457,1,1.0,985.38,1.0,0.0,35,1.0
35000,0.0,0.6978731851915161,5,0.9017771888122805,1,1.0,985.38,1.0,0.0,35,1.0
36000,0.0,0.6978731851915161,5,0.9045303776102834,1,1.0,985.38,1.0,0.0,35,1.0
37000,0.0,0.6978731851915161,5,0.9071334307610331,1,0.9978986933205135,985.38,1.0,0.0,35,1.0
38000,0.0,0.6967016377681637,6,0.9095983030032212,1,0.9713799716399985,985.38,1.0,0.0,36,1.0
39000,0.0,0.6967016377681637,6,0.9119357126774272,1,0.9462342109991353,985.38,1.0,0.0,36,1.0
40000,0.0,0.6952992949937838,6,0.9141552975378908,1,0.9223574778559571,985.38,1.0,0.0,36,1.0
41000,0.0,0.6945144718895939,6,0.9162657475809463,1,0.8996560708732205,985.38,1.0,0.0,36,1.0
42000,0.0,0.6944370925589246,6,0.9033613751763176,1,0.8780452919714713,985.38,1.0,0.0,36,1.0
43000,0.0,0.6944370925589246,6,0.8991824033214085,1,0.8574483903515419,985.38,1.0,0.0,36,1.0
44000,0.0,0.6944370925589246,6,0.901490708952531,1,0.8377956517352337,985.38,1.0,0.0,36,1.0
45000,0.0,0.6944370925589246,6,0.9036956792475772,1,0.8190236100473983,985.38,1.0,0.0,36,1.0
46000,0.0,0.6944370925589246,6,0.9058041012695739,1,0.8010743627559324,985.38,1.0,0.0,36,1.0
47000,0.0,0.6937369220413484,7,0.9078221804498304,1,0.7838949743087652,985.38,1.0,0.0,36,1.0
48000,0.0,0.6935164271744703,7,0.9097556015862929,1,0.7674369547205485,985.38,1.0,0.0,36,1.0
49000,0.0,0.6935164271744703,7,0.9116095823229976,1,0.7516558024916885,985.38,1.0,0.0,36,1.0
50000,0.0,0.693263062018908,7,0.9133889201701362,1,0.736510602786042,985.38,1.0,0.0,36,1.0
51000,0.0,0.693263062018908,7,0.915098033956982,1,0.7219636732273217,985.38,1.0,0.0,36,1.0
52000,0.0,0.6937286062338204,7,0.9050455887203211,1,0.7079802508580593,985.38,1.0,0.0,36,1.0
53000,0.0,0.6937286062338204,7,0.9016730484671627,1,0.6945282147863369,985.38,1.0,0.0,36,1.0
54000,0.0,0.6937286062338204,7,0.9035049085133967,1,0.6815778398621769,985.38,1.0,0.0,36,1.0
55000,0.0,0.6937286062338204,7,0.9052697607512097,1,0.6691015774076111,985.38,1.0,0.0,36,1.0
56000,0.0,0.6948617552285895,8,0.9069712157733668,1,0.6570738595962241,985.38,1.0,0.0,36,1.0
57000,0.0,0.6948617552285895,8,0.9086126293493104,1,0.6454709245588737,985.38,1.0,0.0,36,1.0
58000,0.0,0.6946790433541242,8,0.9101971245160856,1,0.6342706596980912,985.38,1.0,0.0,36,1.0
59000,0.0,0.6946790433541242,8,0.9117276114103267,1,0.6234524610371751,985.38,1.0,0.0,36,1.0
