Time,BlockedArrivalTime,BufferUtilizationMean,CraneManipulations,CraneUtilizationMean,DeliveredBlocks,HandoverUtilizationMean,LeadTimeMean,ServiceLevelMean,TardinessMean,TotalBlocksOnTime,UpstreamUtilizationMean
0,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,0.0
1000,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,1.0
2000,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,1.0
3000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
4000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
5000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
6000,0.0,0.7066567147767203,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
7000,0.0,0.7066567147767203,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
8000,0.0,0.7022153669823998,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
9000,0.0,0.7031621883806488,1,0.9887682647865462,0,0.0,0.0,0.0,0.0,35,1.0
10000,0.0,0.7031621883806488,1,0.8877697937258611,0,0.0,0.0,0.0,0.0,35,1.0
11000,0.0,0.7031621883806488,1,0.8054921935103768,0,0.0,0.0,0.0,0.0,35,1.0
12000,0.0,0.7031621883806488,1,0.8205881916377303,0,0.0,0.0,0.0,0.0,35,1.0
13000,0.0,0.7035869725979269,2,0.8346157716385224,0,0.0,0.0,0.0,0.0,35,1.0
14000,0.0,0.7035869725979269,2,0.8466088849017614,0,0.0,0.0,0.0,0.0,35,1.0
15000,0.0,0.7016606863390114,2,0.8569802040347311,0,0.0,0.0,0.0,0.0,35,1.0
16000,0.0,0.702098323980442,2,0.8514258293559576,0,0.0,0.0,0.0,0.0,35,1.0
17000,0.0,0.702098323980442,2,0.8007153334084182,0,0.0,0.0,0.0,0.0,35,1.0
18000,0.0,0.702098323980442,2,0.7557058702806808,0,0.0,0.0,0.0,0.0,35,1.0
19000,0.0,0.702098323980442,2,0.7670562635853999,0,0.0,0.0,0.0,0.0,35,1.0
20000,0.0,0.7032913349874772,3,0.7788270834469225,0,0.0,0.0,0.0,0.0,35,1.0
21000,0.0,0.7026008160816073,3,0.7894655456561599,0,0.0,0.0,0.0,0.0,35,1.0
22000,0.0,0.7026008160816073,3,0.7991275512412087,0,0.0,0.0,0.0,0.0,35,1.0
23000,0.0,0.7026008160816073,3,0.8079416380908186,0,0.0,0.0,0.0,0.0,35,1.0
24000,0.0,0.7005556425078857,3,0.8160147319456513,0,0.0,0.0,0.0,0.0,35,1.0
25000,0.0,0.7008761292543765,3,0.8073153848378696,0,0.0,0.0,0.0,0.0,35,1.0
26000,0.0,0.7008761292543765,3,0.7760118764170502,0,0.0,0.0,0.0,0.0,35,1.0
27000,0.0,0.7008761292543765,3,0.7470453285568128,0,0.0,0.0,0.0,0.0,35,1.0
28000,0.0,0.7008761292543765,3,0.7557876947742193,0,0.0,0.0,0.0,0.0,35,1.0
29000,0.0,0.7008761292543765,3,0.7642702537723864,0,0.0,0.0,0.0,0.0,35,1.0
30000,0.0,0.7008761292543765,3,0.7721833211239516,0,0.0,0.0,0.0,0.0,35,1.0
31000,0.0,0.7022944115679178,4,0.779582384930815,0,0.0,0.0,0.0,0.0,35,1.0
32000,0.0,0.7017664029720903,4,0.7865159514491585,0,0.0,0.0,0.0,0.0,35,1.0
33000,0.0,0.7011233972857894,4,0.7930266097219535,0,0.0,0.0,0.0,0.0,35,1.0
34000,0.0,0.7011233972857894,4,0.7991519071671437,0,0.0,0.0,0.0,0.0,35,1.0
35000,0.0,0.7013447835131086,4,0.7771622239111529,0,0.0,0.0,0.0,0.0,35,1.0
36000,0.0,0.7013447835131086,4,0.7554476757472557,0,0.0,0.0,0.0,0.0,35,1.0
37000,0.0,0.7013447835131086,4,0.7349135889972946,0,0.0,0.0,0.0,0.0,35,1.0
38000,0.0,0.7013447835131086,4,0.7416523019503635,0,0.0,0.0,0.0,0.0,36,1.0
39000,0.0,0.7013447835131086,4,0.748312475816857,0,0.0,0.0,0.0,0.0,36,1.0
40000,0.0,0.7022459213051253,5,0.7546378829036984,0,0.0,0.0,0.0,0.0,36,1.0
41000,0.0,0.7017281265468531,5,0.760653144490333,0,0.0,0.0,0.0,0.0,36,1.0
42000,0.0,0.7017281265468531,5,0.7663805251853361,0,0.0,0.0,0.0,0.0,36,1.0
43000,0.0,0.7017281265468531,5,0.7718402083032008,0,0.0,0.0,0.0,0.0,36,1.0
44000,0.0,0.7017281265468531,5,0.7770505335096084,0,0.0,0.0,0.0,0.0,36,1.0
45000,0.0,0.7005623664199374,5,0.7820282026320514,1,1.0,998.118,1.0,0.0,36,1.0
46000,0.0,0.7005623664199374,5,0.78678845850244,1,1.0,998.118,1.0,0.0,36,1.0
47000,0.0,0.6999185163046148,5,0.7784152715072279,1,1.0,998.118,1.0,0.0,36,1.0
48000,0.0,0.6999185163046148,5,0.7621270027727388,1,1.0,998.118,1.0,0.0,36,1.0
49000,0.0,0.6999185163046148,5,0.7465064237739372,1,1.0,998.118,1.0,0.0,36,1.0
50000,0.0,0.6999185163046148,5,0.7512450036837768,1,0.9932088071047649,998.118,1.0,0.0,36,1.0
51000,0.0,0.6999185163046148,5,0.7561427261579573,1,0.9736927290593725,998.118,1.0,0.0,36,1.0
52000,0.0,0.6999185163046148,5,0.7608513106205409,1,0.9549288341742022,998.118,1.0,0.0,36,1.0
53000,0.0,0.6999185163046148,5,0.7653815055988042,1,0.936874458965292,998.118,1.0,0.0,36,1.0
54000,0.0,0.6999185163046148,5,0.7697432603234512,1,0.9194901065502814,998.118,1.0,0.0,36,1.0
55000,0.0,0.6999185163046148,5,0.7739457976705318,1,0.9027391582082227,998.118,1.0,0.0,36,1.0
56000,0.0,0.6978549960982436,6,0.7779976792587293,1,0.8865876159035132,998.118,1.0,0.0,36,1.0
57000,0.0,0.6978549960982436,6,0.7819068636689535,1,0.8710038719641048,998.118,1.0,0.0,36,1.0
58000,0.0,0.6974742843644329,6,0.7856807586193256,1,0.8559585026306279,998.118,1.0,0.0,36,1.0
59000,0.0,0.6974742843644329,6,0.7893262678152737,1,0.8414240826390842,998.118,1.0,0.0,36,1.0
60000,0.0,0.6971719148193088,6,0.7928498330981572,1,0.8273750183787606,998.118,1.0,0.0,36,1.0
61000,0.0,0.69738170947905,6,0.7915079639913404,1,0.8137873974899936,998.118,1.0,0.0,36,1.0
62000,0.0,0.69738170947905,6,0.7786983051106399,1,0.800638853042429,998.118,1.0,0.0,36,1.0
63000,0.0,0.69738170947905,6,0.7662966625557635,1,0.7879084406709342,998.118,1.0,0.0,36,1.0
64000,0.0,0.69738170947905,6,0.7692857758605891,1,0.7755765272495218,998.118,1.0,0.0,36,1.0
65000,0.0,0.69738170947905,6,0.7728467337664943,1,0.7636246898586556,998.118,1.0,0.0,36,1.0
66000,0.0,0.69738170947905,6,0.7762994393078345,1,0.7520356239524278,998.118,1.0,0.0,36,1.0
67000,0.0,0.6983428789167383,7,0.7796487548505251,1,0.7407930597628688,998.118,1.0,0.0,36,1.0
68000,0.0,0.6983428789167383,7,0.7828992558526352,1,0.7298816860921009,998.118,1.0,0.0,36,1.0
69000,0.0,0.6981076419332033,7,0.7860552517183,1,0.7192870807416668,998.118,1.0,0.0,36,1.0
70000,0.0,0.6981076419332033,7,0.7891208048587752,1,0.708995646914288,998.118,1.0,0.0,36,1.0
71000,0.0,0.6976714566721889,7,0.7920997481379167,1,0.6989945549983232,998.118,1.0,0.0,37,1.0
72000,0.0,0.6976714566721889,7,0.7949957008596177,1,0.6892716892108226,998.118,1.0,0.0,37,1.0
73000,0.0,0.6978281869072249,7,0.7841266511400691,1,0.6798155986325921,998.118,1.0,0.0,37,1.0
74000,0.0,0.6978281869072249,7,0.773500179218214,1,0.6706154522191999,998.118,1.0,0.0,37,1.0
75000,0.0,0.6978281869072249,7,0.7631578758066276,1,0.6616609974163012,998.118,1.0,0.0,37,1.0
76000,0.0,0.6978281869072249,7,0.7662534732680131,1,0.6529425220468313,998.118,1.0,0.0,37,1.0
77000,0.0,0.6978281869072249,7,0.7692974468411113,1,0.6444508191722058,998.118,1.0,0.0,37,1.0
78000,0.0,0.6985528291763862,8,0.7722631590388438,1,0.6361771546602595,998.118,1.0,0.0,37,1.0
79000,0.0,0.6987289355073958,8,0.7751535897358868,1,0.628113237219757,998.118,1.0,0.0,37,1.0
80000,0.0,0.6987289355073958,8,0.7779715694209194,1,0.6202511906853586,998.118,1.0,0.0,37,1.0
81000,0.0,0.6987289355073958,8,0.7807197884419586,1,0.6125835283582967,998.118,1.0,0.0,37,1.0
82000,0.0,0.6992626061662076,8,0.7804453489404374,1,0.6051031292270435,998.118,1.0,0.0,37,1.0
83000,0.0,0.6992626061662076,8,0.7710185343428168,1,0.5978032159092108,998.118,1.0,0.0,37,1.0
