Time,BlockedArrivalTime,BufferUtilizationMean,CraneManipulations,CraneUtilizationMean,DeliveredBlocks,HandoverUtilizationMean,LeadTimeMean,ServiceLevelMean,TardinessMean,TotalBlocksOnTime,UpstreamUtilizationMean
0,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,0.0
1000,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,1.0
2000,0.0,0.7083333333333334,0,0.0,0,0.0,0.0,0.0,0.0,35,1.0
3000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
4000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
5000,0.0,0.7083333333333334,0,1.0,0,0.0,0.0,0.0,0.0,35,1.0
6000,0.0,0.7066767849253375,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
7000,0.0,0.7066767849253375,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
8000,0.0,0.7022717801442195,1,1.0,0,0.0,0.0,0.0,0.0,35,1.0
9000,0.0,0.7032025491924161,1,0.9967080860449051,0,0.0,0.0,0.0,0.0,35,1.0
10000,0.0,0.7032025491924161,1,0.894165173511859,0,0.0,0.0,0.0,0.0,35,1.0
11000,0.0,0.7032025491924161,1,0.8107535584247334,0,0.0,0.0,0.0,0.0,35,1.0
12000,0.0,0.7032025491924161,1,0.8180789156096052,0,0.0,0.0,0.0,0.0,35,1.0
13000,0.0,0.7045946861111594,2,0.8323809865980204,0,0.0,0.0,0.0,0.0,35,1.0
14000,0.0,0.7036185484791937,2,0.8445981942158228,0,0.0,0.0,0.0,0.0,35,1.0
15000,0.0,0.7016997928405965,2,0.8551554452227702,0,0.0,0.0,0.0,0.0,35,1.0
16000,0.0,0.7021324820921099,2,0.8552183243773882,0,0.0,0.0,0.0,0.0,35,1.0
17000,0.0,0.7021324820921099,2,0.8040686338540536,0,0.0,0.0,0.0,0.0,35,1.0
18000,0.0,0.7021324820921099,2,0.7586920747687684,0,0.0,0.0,0.0,0.0,35,1.0
19000,0.0,0.7021324820921099,2,0.7710415465628255,0,0.0,0.0,0.0,0.0,35,1.0
20000,0.0,0.7032859268744992,3,0.7826520676157174,0,0.0,0.0,0.0,0.0,35,1.0
21000,0.0,0.7025949364565827,3,0.7931418772434939,0,0.0,0.0,0.0,0.0,35,1.0
22000,0.0,0.7025949364565827,3,0.8026657704690515,0,0.0,0.0,0.0,0.0,35,1.0
23000,0.0,0.7025949364565827,3,0.8113512895648538,0,0.0,0.0,0.0,0.0,35,1.0
24000,0.0,0.7005487465842692,3,0.8193044687518233,0,0.0,0.0,0.0,0.0,35,1.0
25000,0.0,0.7008697901590565,3,0.8096021660594908,0,0.0,0.0,0.0,0.0,35,1.0
26000,0.0,0.7008697901590565,3,0.7781245246873317,0,0.0,0.0,0.0,0.0,35,1.0
27000,0.0,0.7008697901590565,3,0.7490030019559945,0,0.0,0.0,0.0,0.0,35,1.0
28000,0.0,0.7008697901590565,3,0.7564267628266642,0,0.0,0.0,0.0,0.0,35,1.0
29000,0.0,0.7008697901590565,3,0.764907751110101,0,0.0,0.0,0.0,0.0,35,1.0
30000,0.0,0.7008697901590565,3,0.7728180117087831,0,0.0,0.0,0.0,0.0,35,1.0
31000,0.0,0.7023014021965558,4,0.7802132799078332,0,0.0,0.0,0.0,0.0,35,1.0
32000,0.0,0.7017737338160093,4,0.7871422625636542,0,0.0,0.0,0.0,0.0,35,1.0
33000,0.0,0.7017737338160093,4,0.7936477121332113,0,0.0,0.0,0.0,0.0,35,1.0
34000,0.0,0.701131083558003,4,0.7997673095944025,0,0.0,0.0,0.0,0.0,35,1.0
35000,0.0,0.701352005243714,4,0.7787295572638551,0,0.0,0.0,0.0,0.0,35,1.0
36000,0.0,0.701352005243714,4,0.7569285641017259,0,0.0,0.0,0.0,0.0,35,1.0
37000,0.0,0.701352005243714,4,0.736314991713488,0,0.0,0.0,0.0,0.0,35,1.0
38000,0.0,0.701352005243714,4,0.7428624091169674,0,0.0,0.0,0.0,0.0,36,1.0
39000,0.0,0.701352005243714,4,0.7495033743878347,0,0.0,0.0,0.0,0.0,36,1.0
40000,0.0,0.7022469005133851,5,0.75580994993141,0,0.0,0.0,0.0,0.0,36,1.0
41000,0.0,0.7017291517431976,5,0.7618067715863436,0,0.0,0.0,0.0,0.0,36,1.0
42000,0.0,0.7017291517431976,5,0.7675161131691748,0,0.0,0.0,0.0,0.0,36,1.0
43000,0.0,0.7017291517431976,5,0.7729581629288004,0,0.0,0.0,0.0,0.0,36,1.0
44000,0.0,0.7017291517431976,5,0.7781512620610951,0,0.0,0.0,0.0,0.0,36,1.0
45000,0.0,0.7005634737455781,5,0.7831121112224017,1,1.0,998.124,1.0,0.0,36,1.0
46000,0.0,0.7005634737455781,5,0.7878559499414612,1,1.0,998.124,1.0,0.0,36,1.0
47000,0.0,0.6999196562810489,5,0.7795819135960703,1,1.0,998.124,1.0,0.0,36,1.0
48000,0.0,0.6999196562810489,5,0.763245296847991,1,1.0,998.124,1.0,0.0,36,1.0
49000,0.0,0.6999196562810489,5,0.7475793141826694,1,1.0,998.124,1.0,0.0,36,1.0
50000,0.0,0.6999196562810489,5,0.7524907003053427,1,0.9933339618120745,998.124,1.0,0.0,36,1.0
51000,0.0,0.6999196562810489,5,0.7573706239868873,1,0.9738130133312651,998.124,1.0,0.0,36,1.0
52000,0.0,0.6999196562810489,5,0.7620618418685633,1,0.9550445268777766,998.124,1.0,0.0,36,1.0
53000,0.0,0.6999196562810489,5,0.7665750921587277,1,0.9369858180774706,998.124,1.0,0.0,36,1.0
54000,0.0,0.6999196562810489,5,0.7709203134956738,1,0.919597371077922,998.124,1.0,0.0,36,1.0
55000,0.0,0.6999196562810489,5,0.77510671800788,1,0.9028425499002762,998.124,1.0,0.0,36,1.0
56000,0.0,0.697859087394694,6,0.7791428565070241,1,0.8866873407810347,998.124,1.0,0.0,36,1.0
57000,0.0,0.697859087394694,6,0.7830366767846891,1,0.8711001216903324,998.124,1.0,0.0,36,1.0
58000,0.0,0.697478163694269,6,0.786795575849111,1,0.8560514557402972,998.124,1.0,0.0,36,1.0
59000,0.0,0.697478163694269,6,0.7904264468243756,1,0.8415139056435688,998.124,1.0,0.0,36,1.0
60000,0.0,0.6971756291487624,6,0.7939357211377005,1,0.8274618667614271,998.124,1.0,0.0,36,1.0
61000,0.0,0.6973853862378812,6,0.7924207153001146,1,0.8138714166042893,998.124,1.0,0.0,36,1.0
62000,0.0,0.6973853862378812,6,0.7795817353077239,1,0.8007201789236128,998.124,1.0,0.0,36,1.0
63000,0.0,0.6973853862378812,6,0.7671521621395134,1,0.7879872007709856,998.124,1.0,0.0,36,1.0
64000,0.0,0.6973853862378812,6,0.7706274468803411,1,0.7756528411035777,998.124,1.0,0.0,36,1.0
65000,0.0,0.6973853862378812,6,0.7741715269946599,1,0.7636986696903051,998.124,1.0,0.0,36,1.0
66000,0.0,0.6973853862378812,6,0.7776077530353359,1,0.7521073752243091,998.124,1.0,0.0,36,1.0
67000,0.0,0.6983430209749012,7,0.7809409745624366,1,0.7408626816782506,998.124,1.0,0.0,36,1.0
68000,0.0,0.6981076714998219,7,0.7841757546879271,1,0.7299492720524636,998.124,1.0,0.0,36,1.0
69000,0.0,0.6981076714998219,7,0.7873163909173808,1,0.7193527187647216,998.124,1.0,0.0,36,1.0
70000,0.0,0.6981076714998219,7,0.7903669341980811,1,0.7090594200163686,998.124,1.0,0.0,36,1.0
71000,0.0,0.6976712904994463,7,0.7933312063510487,1,0.6990565415446421,998.124,1.0,0.0,37,1.0
72000,0.0,0.6978280920464621,7,0.7958253824962865,1,0.6893319632366999,998.124,1.0,0.0,37,1.0
73000,0.0,0.6978280920464621,7,0.7848816758744154,1,0.679874230138424,998.124,1.0,0.0,37,1.0
74000,0.0,0.6978280920464621,7,0.7742348688641952,1,0.670672507441639,998.124,1.0,0.0,37,1.0
75000,0.0,0.6978280920464621,7,0.777036546831051,1,0.6617165390778564,998.124,1.0,0.0,37,1.0
76000,0.0,0.6978280920464621,7,0.7799811283457383,1,0.6529966095858649,998.124,1.0,0.0,37,1.0
77000,0.0,0.6984308133730964,8,0.7828489480019217,1,0.6445035089551002,998.124,1.0,0.0,37,1.0
78000,0.0,0.6986113768274091,8,0.7856429688185959,1,0.6362285001773461,998.124,1.0,0.0,37,1.0
79000,0.0,0.6986113768274091,8,0.7883660032546786,1,0.6281632892664388,998.124,1.0,0.0,37,1.0
80000,0.0,0.6986113768274091,8,0.7910207226520773,1,0.6202999975297155,998.124,1.0,0.0,37,1.0
81000,0.0,0.6991559293232908,8,0.7907909116650179,1,0.6126311358963357,998.124,1.0,0.0,37,1.0
82000,0.0,0.6991559293232908,8,0.7811140667894995,1,0.6051495811266443,998.124,1.0,0.0,37,1.0
83000,0.0,0.6991559293232908,8,0.7716711884316321,1,0.5978485537437147,998.124,1.0,0.0,37,1.0
